id_str	created_at	screen_name	text	user_followers	sentiment	funcionality	client_attention
153653000000000	Tue Jun 14 01:55:56 +0000 2022	EdgarcueroO	¡Disfruta conmigo de llamadas gratis en @Dingtone! https://t.co/gkL5FcvWtr	5006	0	0	0
153653000000000	Tue Jun 14 01:51:30 +0000 2022	gilcuate	RT @IvanNavaMx: Ayudanos a vender 10 boletos de esta rifa por favor, tenemos que reunir lo de Max y unos estudios de Odin que sigue delicad…	20	0	0	0
153653000000000	Tue Jun 14 01:45:56 +0000 2022	ilovminnie_	me cambie a Huawei y ahora no se cómo entrar a mis cuentas de fanplus te odio Huawei me arruinaste la vida	51	0	1	0
153653000000000	Tue Jun 14 01:14:19 +0000 2022	alexander_tdf	RT @Lauriita18_: NECESITO VUESTRA AYUDA:  Que me recomendáis para hacer IRL (setup) y también fotos para darle más vida al Instagram.  De m…	6	0	0	0
153653000000000	Tue Jun 14 01:06:54 +0000 2022	pablo_calva	"@jere_cob24 @HuaweiMobileMx Yo no :( aún sigo esperando EMUI 11 O 12 en mi nova 5T que gracias a Telcel y su software ""personalizado"" a bloqueado y Huawei solo saben decir ""no podemos hacer nada"" que forma de cuidar a sus clientes"	39	0	1	0
153653000000000	Tue Jun 14 00:30:12 +0000 2022	Zavala_Ra	Huawei podría aportar a la educación superior en Ecuador https://t.co/lV11WjY1iO	7006	0	0	0
153653000000000	Tue Jun 14 00:28:08 +0000 2022	coosti_b	será este el fin del huawei GW?	250	0	1	0
153653000000000	Mon Jun 13 23:53:43 +0000 2022	eveemtz_	@MAULvc7 Me resistiré lo mas que pueda, hasta que mi huawei de sus últimas ??	34	0	0	0
153653000000000	Mon Jun 13 23:46:33 +0000 2022	blogyarq	@MAULvc7 Es que amo Huawei, tengo el p30 lite pero los actuales no tienen google y eso no me gusta, mi única opción ahora es iphone :((( pero no quiero porque no los sé usar ??	70643	1	1	0
153653000000000	Mon Jun 13 23:44:29 +0000 2022	blogydeco	En estos momentos odio a Huawei??	14568	0	1	0
153653000000000	Mon Jun 13 23:44:27 +0000 2022	eveemtz_	@JustNova111 Se usar windows movie maker y el editor de huawei, es suficiente?	34	1	1	0
153653000000000	Mon Jun 13 23:38:08 +0000 2022	bere_nice_	@autolesivo cuál celular tengo? un huawei p smart o algo así de 2018 o O	42	0	1	0
153653000000000	Mon Jun 13 23:29:15 +0000 2022	ayala13_alfredo	Bien @amazonmex !!! Típico que pagas unos audífonos Huawei de muchísimo más dinero y te mandan unas mascarillas de no sé que madres!!! @medios_profeco @PROFECO_CENTRO qué procede en estos casos!? #siempreesasí? https://t.co/Ert3ad2obX	115	0	0	0
153653000000000	Mon Jun 13 23:16:21 +0000 2022	Alguien97663534	Cómo por 3era vez se me cae el celular al piso cerámico... Huawei es el nuevo ladrillo, no me pasó nada, ni una raya ??	1	1	1	0
153653000000000	Mon Jun 13 23:15:55 +0000 2022	xdxdxdgghj	RT @UsuarioIncomodo: Los clientes son un chiste para Huawei, primero ofrecen una cosa y después se echan para atrás.   Se nota que ni a @Pr…	15	0	0	1
153653000000000	Mon Jun 13 23:05:50 +0000 2022	Recca_Hanabishi	Huawei P30 Pro de 256 GB Negro $400 con su ayuda siempre salimos adelante, mil gracias ?????. #RescateAnimal #IvanNavaMx #CDMX #AdoptaNoCompres #perros #Mexico #PerritosDeLaCalle #RT https://t.co/LIarnDxzjz	174	0	0	0
153653000000000	Mon Jun 13 23:00:09 +0000 2022	HuaweiMobileCo	Ayudanos a vender 10 boletos de esta rifa por favor, tenemos que reunir lo de Max y unos estudios de Odin que sigue delicado, Huawei P30 Pro de 256 GB Negro $400 por favor un boleto hace mucha diferencia ???????? #RT por favor. Abro Hilo ?????? https://t.co/pSgfrThQbs	140650	0	0	0
